DOCUMENT NUMBER,REFERENCE NUMBER,ITEM,ITEM_DESCRIPTION,UPC,INVC_QTY,RECV_QTY,INVC_COST,EXTENDED_COST,LOC,COMMENTS,AP_COMMENTS
DMQ11226593125,VFGTAT,6583982,"COMBO TOUCH FOR IPAD",097855196026,32,24,142.59,1140.72,84 - RDC-STAUNTON,"Reason: Shortage Noted by Receiving Location.","AP Comments:  Shortage noted by location on__Load Number  1002194689______ ."
DMQ11226593125,VFGTAT,6589595,"COMBO TOUCH FOR IPAD",097855200815,24,0,158.6,3806.4,84 - RDC-STAUNTON,"Reason: Shortage Noted by Receiving Location.","AP Comments: Shortage noted by location on_____ Shortage noted by location on__Load Number  1002194689______ .___ ."
