DOCUMENT NUMBER,REFERENCE NUMBER,ITEM,ITEM_DESCRIPTION,UPC,INVC_QTY,RECV_QTY,INVC_COST,EXTENDED_COST,LOC,COMMENTS,AP_COMMENTS
DMQ11226606982,VFJUDF,6491144,"SIGNATURE M650 L WIR",097855167668,180,176,24.79,99.16,717 - RDC-DUBLIN,"Reason: Shortage Noted by Receiving Location.","AP Comments:  Shortage noted by location on____Load Number 1002199866____ ."
DMQ11226606982,VFJUDF,6502579,"MX MECHANICAL WIRELE",097855174659,104,100,111.59,446.36,717 - RDC-DUBLIN,"Reason: Shortage Noted by Receiving Location.","AP Comments:   Shortage noted by location on______Load Number  1002199866__ ."
DMQ11226606982,VFJUDF,6587868,"M550 L WIRELESS MOUS",097855181848,160,152,18.59,148.72,717 - RDC-DUBLIN,"Reason: Shortage Noted by Receiving Location.","AP Comments: Shortage noted by location on_____Load Number  1002199866___ ."
DMQ11226606982,VFJUDF,6609152,"ERGO M575 S  OFF WHI",097855186751,10,0,30.99,309.9,717 - RDC-DUBLIN,"Reason: Shortage Noted by Receiving Location.","AP Comments: Shortage noted by location on_____Load Number  1002199866___ ."
