DOCUMENT NUMBER,REFERENCE NUMBER,ITEM,ITEM_DESCRIPTION,UPC,INVC_QTY,RECV_QTY,INVC_COST,EXTENDED_COST,LOC,COMMENTS,AP_COMMENTS
DMQ11226607008,VFJUGT,6372528,"LOGITECH G PRO MECHA",097855151926,168,164,69.41,277.64,87 - RDC-FINDLAY,"Reason: Shortage Noted by Receiving Location.","AP Comments: Shortage noted by location on____Load Number  1002199871____ ."
DMQ11226607008,VFJUGT,6514575,"G240 CLOTH GAMING MO",097855177575,124,120,4.99,19.96,87 - RDC-FINDLAY,"Reason: Shortage Noted by Receiving Location.","AP Comments:"
