DOCUMENT NUMBER,REFERENCE NUMBER,ITEM,ITEM_DESCRIPTION,UPC,INVC_QTY,RECV_QTY,INVC_COST,EXTENDED_COST,LOC,COMMENTS,AP_COMMENTS
DMQ11226593306,VFGVBC,6265133,"LOGITECH G502 GAMING",097855141996,216,204,43.83,525.96,87 - RDC-FINDLAY,"Reason: Concealed shortage on a collect shipment. BULK ORDER ONLY.","AP Comments: Concealed shortage noted by location on BOL 7170079203  trailer 2336269  load 1002194692. Seal and wrap marked as intact upon delivery."
DMQ11226593306,VFGVBC,6420856,"G733-BLACK",097855155580,76,72,92.79,371.16,87 - RDC-FINDLAY,"Reason: Concealed shortage on a collect shipment. BULK ORDER ONLY.","AP Comments: Concealed shortage noted by location on BOL 7170079203  trailer 2336269  load 1002194692. Seal and wrap marked as intact upon delivery."
